"Story","Title","Result","Date","Stability","Duration (s)"
"Job search using CSV data source test","Should display validation message asking for an upload","ERROR","2021-02-25T18:28:15.6532685+02:00[Africa/Johannesburg]","0.0","5.05"
"Job search using local data source test","Should display validation message asking for an upload","ERROR","2021-02-25T18:28:25.2701069+02:00[Africa/Johannesburg]","0.0","2.72"
